Role,Company Name,Location,Post Date
Data Engineer - Hadoop/GCP,Deutsche Bank,"Pune, Maharashtra, India",1 day ago
BI Developer,Barclays,"Pune, Maharashtra, India",4 days ago
Data Engineer - Ontology,Siemens Energy,"Pune, Maharashtra, India",1 day ago
DDI- Lead Data Engineer,Quess Corp Limited,"Pune, Maharashtra, India",1 week ago
Business Analytics_Deputy Manager-Pune,_VOIS,"Pune, Maharashtra, India",1 day ago
Python Data Developer,AuthMind,"Pune, Maharashtra, India",2 days ago
Data Scientist - Machine Learning,Changeleaders.in,"Pune, Maharashtra, India",1 month ago
Head of Artificial Intelligence,Starkenn Technologies,"Pune, Maharashtra, India",1 week ago
Data Engineer - Hadoop/GCP,Deutsche Bank,"Pune, Maharashtra, India",1 day ago
Manager Data Scientist,Michelin,"Pune, Maharashtra, India",16 hours ago
Practice Head/Director - Data Science - IT,HNS Solutions,"Pune, Maharashtra, India",4 weeks ago
CIEL/SEL/27177: BI - Analyst,CIEL HR,"Pune, Maharashtra, India",2 days ago
Data Engineer,Cummins Inc.,"Pune, Maharashtra, India",2 weeks ago
Assistant Manager - PL - Prime - T1(JR00113202),Bajaj Finserv,"Pune, Maharashtra, India",3 days ago
Lead Generation Internship in Kharadi at ZM Technologies,ZM Technologies,"Pune, Maharashtra, India",2 weeks ago
Big Data Engineer,ADI Resourcing,"Pune, Maharashtra, India",2 months ago
Assistant Manager_Senior Engineer_Operation Analyst_Pune,_VOIS,"Pune, Maharashtra, India",1 month ago
"Redshift DWH Lead (Gurgaon, Pune , Bangalore, Chennai , Hyderabad)",ADI Resourcing,"Pune, Maharashtra, India",1 month ago
Strategy & Transformation Lead,Barclays,"Pune, Maharashtra, India",1 month ago
Data Engineer,Vipsa Talent Solutions,"Pune, Maharashtra, India",3 months ago
Coditas - Lead Generation Role,Coditas,"Pune, Maharashtra, India",1 month ago
Big Data Developer,Changeleaders.in,Pune/Pimpri-Chinchwad Area,4 months ago
Lead Data Scientist,Barclays,"Pune, Maharashtra, India",4 weeks ago
Lead Generation Executive,Demand Infotech Solutions,"Pune, Maharashtra, India",2 months ago
Data Engineer – Smart Building Analytics (6 - 9 years),Siemens,"Pune, Maharashtra, India",2 days ago
Associate Manager Data Science,MSD,"Pune, Maharashtra, India",1 month ago
Lead Generation Intern,Incentius,"Pune, Maharashtra, India",3 weeks ago
Lead Generation Executive,Demand Infotech Solutions,"Pune, Maharashtra, India",2 months ago
Cloud ML Engineer,Tridiagonal Solutions,"Pune, Maharashtra, India",1 month ago
Data Scientist - Healthcare/Life Sciences,TalentCo Search Pvt Ltd,"Pune, Maharashtra, India",1 month ago
Data Engineer - SQL/BigQuery,Boost Tech,"Pune, Maharashtra, India",2 months ago
Senior Lead Generation Executive,Vsynergize,"Pune, Maharashtra, India",2 months ago
